ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
9129;2;52;26.18345506;86.29318838;26.26775211;86.37467817;26.22333116;86.33217838;India;IND;0;1;India;IND;Asia;South-Central Asia;Marauna;Marauna;;;;;
9130;1;19;25.49308313;85.98059791;25.55195791;86.04380211;25.52428982;86.00980702;India;IND;0;1;India;IND;Asia;South-Central Asia;Bhagwanpur;Bhagwanpur;GISCO OSM;0;0;0;0
9131;1;134;25.38377326;85.94698659;25.50149314;86.21156624;25.42988965;86.06190419;India;IND;0;1;India;IND;Asia;South-Central Asia;Begusarai;Begusarai;GISCO OSM;3;3;3;56
9132;2;3;24.94690732;85.71912558;24.9636989;85.74757995;24.95390371;85.7345141;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
9133;1;31;23.96608803;85.32692871;24.02468853;85.4010131;23.99673726;85.36057374;India;IND;0;1;India;IND;Asia;South-Central Asia;Hazaribagh;Hazaribagh;GISCO OSM;1;1;1;15
9134;1;14;25.12326246;85.81351939;25.15686486;85.88779843;25.14006322;85.84990096;India;IND;0;1;India;IND;Asia;South-Central Asia;Shaikhpura;Shaikhpura;GISCO OSM;0;1;1;0
9135;1;12;24.42679574;85.5081767;24.46032654;85.57162706;24.44146505;85.53901771;India;IND;0;1;India;IND;Asia;South-Central Asia;Jhumri Tilaiya;Jhumri Tilaiya;GISCO OSM;1;2;2;6
9136;2;8;24.06655225;85.36873127;24.10004696;85.41077043;24.08015907;85.3928192;India;IND;0;1;India;IND;Asia;South-Central Asia;Ichak;Ichak;GISCO OSM;0;0;0;0
9137;2;9;25.82124015;86.14456162;25.84649724;86.18716;25.83386844;86.16573392;India;IND;0;1;India;IND;Asia;South-Central Asia;Singla;Singla;GISCO OSM;0;1;1;0
9138;2;8;25.66974047;86.08015624;25.70340073;86.12958884;25.68762203;86.10212748;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
