X.U.FEFF.ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA;H90_AREA;H00_AREA;E_BM_NM_LST;E_SL_LST;EL_AV_ALS;E_KG_NM_LST;E_RB_NM_LST;E_WR_P_90;E_WR_P_00;E_WR_P_14;E_WR_T_90;E_WR_T_00;E_WR_T_14
4812;1;77;42.99190998;44.6122466;43.11028226;44.77026462;43.0530958;44.67711993;Russia;RUS;0;1;Russia;RUS;Europe;Eastern Europe;Vladikavkaz;Vladikavkaz;GISCO OSM;1;1;1;57;59;76;Temperate Broadleaf and Mixed Forests;Chernozems;663.4001337;Snow, fully humid, and  Hot summer;NAN;694.7000275;669.1500092;656.9000244;10.04405379;10.50768089;10.85314894
4813;1;4;11.4082803;37.14293142;11.42457987;37.17389481;11.4143926;37.15857765;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Merawi;Merawi;GISCO OSM;1;1;1;2;3;4;Montane Grasslands and Shrublands;Luvisols;2006.541741;Mild temperate with dry winter, and  Warm summer;Nile;1346.875031;1535.950012;1542.850006;15.79003239;16.13227153;16.6290288
4814;1;4;12.97475102;37.28883625;13.00742434;37.30200604;12.99108748;37.2954199;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;N/A;-;N/A;0;1;1;0;2;3;Tropical and Subtropical Moist Broadleaf Forests;Vertisols;1036.43295;Tropical savannah with dry winter;Nile;1032.25;1147.825027;1061.375046;20.6976409;21.04606962;21.50753069
4815;1;4;8.292884154;36.93704562;8.309124885;36.95807439;8.301004487;36.94755963;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Jimma;-;N/A;0;1;1;0;3;3;Montane Grasslands and Shrublands;Nitisols;;;;;;;;;
4817;1;19;-1.407310378;36.71467571;-1.366867441;36.78484175;-1.391346029;36.74668576;Kenya;KEN;0;1;Kenya;KEN;Africa;Eastern Africa;Ongata Rongai;Ongata Rongai;GISCO OSM;0;0;1;0;0;12;Tropical and subtropical grasslands, savannas, and shrublands;Phaeozems;1747.909727;Mild temperate, fully humid, and  Warm summer;Galana;1087.575027;835.7750092;955.125;18.5292635;19.18881559;19.41679478
4818;2;1;-15.39731093;37.54525026;-15.38910944;37.5563704;-15.39321017;37.5508102;Mozambique;MOZ;0;1;Mozambique;MOZ;Africa;Eastern Africa;Mugema;Mugema;GISCO OSM;1;1;1;1;1;1;Tropical and subtropical grasslands, savannas, and shrublands;Ferralsols;734.0282204;Tropical savannah with dry winter;NAN;1152.100021;1152.125031;1216.850006;22.88107109;23.18211889;23.25302982
4820;2;4;9.877644061;37.06824884;9.893912335;37.08952217;9.885778159;37.07888511;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Alibo;Alibo;GISCO OSM;0;0;0;0;0;0;Montane Grasslands and Shrublands;Leptosols;2457.902984;Mild temperate with dry winter, and  Warm summer;Nile;1383.050018;1406.100037;1508.200043;18.42448044;18.73310614;19.26448536
4821;1;28;-1.237451759;36.73319857;-1.180833174;36.80298533;-1.206831447;36.76885278;Kenya;KEN;0;1;Kenya;KEN;Africa;Eastern Africa;Ruaka;Ruaka;GISCO OSM;0;1;1;0;27;27;Tropical and subtropical grasslands, savannas, and shrublands;Nitisols;1780.715238;Mild temperate, fully humid, and  Warm summer;Galana;1087.575027;835.7750092;955.125;18.5292635;19.18881559;19.41679478
4822;2;4;-6.159270572;36.85856262;-6.134953883;36.87962917;-6.145085785;36.87151191;Tanzania;TZA;0;1;Tanzania;TZA;Africa;Eastern Africa;Gairo;Gairo;GISCO OSM;0;0;0;0;0;0;Tropical and subtropical grasslands, savannas, and shrublands;Luvisols;1276.199704;Mild temperate with dry winter, and  Hot summer;NAN;853.375;794.7000275;722.1500092;21.07788086;21.31749344;21.47901011
4823;1;27;43.1922823;44.73587857;43.24697182;44.83725297;43.21709287;44.77932107;Russia;RUS;0;1;Russia;RUS;Europe;Eastern Europe;Nazran;Nazran;GISCO OSM;1;1;1;20;21;27;Temperate Grasslands, Savannas, and Shrublands;Chernozems;528.6977611;Mild temperate, fully humid, and  Hot summer;NAN;694.7000275;669.1500092;656.9000244;10.04405379;10.50768089;10.85314894
4824;2;3;12.52565733;37.2885141;12.5419827;37.31022839;12.53245952;37.30093708;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;N/A;-;N/A;0;0;0;0;0;0;Montane Grasslands and Shrublands;Vertisols;2040.871151;Mild temperate with dry winter, and  Warm summer;Nile;1032.25;1147.825027;1061.375046;20.6976409;21.04606962;21.50753069
4825;1;9;37.50802964;42.42988895;37.53452182;42.47910971;37.51931291;42.45245815;Turkey;TUR;0;1;Turkey;TUR;Asia;Western Asia;??rnak;??rnak;GISCO OSM;0;0;0;0;0;0;Temperate Broadleaf and Mixed Forests;Leptosols;1308.069792;Mild temperate with dry summer, and  Hot summer;Tigris & Euphrates;761.4249878;694.7750092;734.1500092;14.33039832;15.2630477;15.44653964
4826;2;3;9.658052278;37.07328519;9.674316441;37.09452448;9.664828976;37.0854899;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Sekela;Sekela;GISCO OSM;0;0;1;0;0;1;Montane Grasslands and Shrublands;Nitisols;2516.62405;Mild temperate with dry winter, and  Warm summer;Nile;1383.050018;1406.100037;1508.200043;18.42448044;18.73310614;19.26448536
4827;2;2;6.053901312;36.87515209;6.062006359;36.89551839;6.05795383;36.88533513;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Chere;Chere;GISCO OSM;0;0;0;0;0;0;Tropical and Subtropical Moist Broadleaf Forests;Fluvisols;1103.072099;Tropical savannah with dry winter;NAN;1251.200012;1076.774994;1408.075012;18.57764196;18.99824047;19.33536243
4828;1;42;29.90729537;40.17029187;30.00125099;40.25953186;29.96443754;40.20637477;Saudi Arabia;SAU;0;1;Saudi Arabia;SAU;Asia;Western Asia;Sakaka;Sakaka;GISCO OSM;0;1;1;0;23;34;Deserts and Xeric Shrublands;Luvisols;562.8803748;Desert (arid), and  Hot arid;NAN;32.55000067;17.6250006;16.40000021;22.21039391;23.15928221;23.4134593
4830;1;8;9.105246178;37.04739689;9.137754932;37.07860831;9.121500413;37.06174509;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Bako;Bako;GISCO OSM;0;1;1;0;3;7;Tropical and Subtropical Moist Broadleaf Forests;Nitisols;1647.749852;Tropical savannah with dry winter;Lake Turkana;1616.100067;1499.425049;1642.175049;16.67574167;16.97279215;17.51398277
4831;2;4;7.708384851;36.96457536;7.724616662;36.9951148;7.714471752;36.9799544;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;serbo;serbo;GISCO OSM;1;1;1;1;2;3;Montane Grasslands and Shrublands;Vertisols;1773.946977;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1634.525024;1471.775024;1688.649994;16.87202549;17.30553532;17.71362638
4832;1;5;15.09393734;37.57386842;15.11852899;37.59695343;15.10459358;37.58625021;Eritrea;ERI;0;1;Eritrea;ERI;Africa;Eastern Africa;Barentu;Barentu;GISCO OSM;1;1;1;4;4;5;Tropical and subtropical grasslands, savannas, and shrublands;Leptosols;1004.201906;Steppe (semi-arid), and  Hot arid;NAN;304.5999985;370.8750153;327.6500092;26.61324692;27.11092854;27.46602154
4833;1;7;9.560473594;37.08681522;9.584867256;37.12871799;9.571508739;37.1069684;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Shambu;Shambu;GISCO OSM;0;0;0;0;0;0;Montane Grasslands and Shrublands;Leptosols;2507.289964;Mild temperate with dry winter, and  Warm summer;Nile;1383.050018;1406.100037;1508.200043;18.42448044;18.73310614;19.26448536
4835;2;5;10.96832533;37.19893985;10.99276061;37.22039113;10.97891386;37.20884593;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Gish Abay;Gish Abay;GISCO OSM;0;1;1;0;2;3;Montane Grasslands and Shrublands;Nitisols;2716.72047;Mild temperate with dry winter, and  Warm summer;Nile;1330.225006;1485.975006;1522.875031;16.84164763;17.16513777;17.66415977
4836;2;4;7.481164287;36.98260605;7.497392808;37.00351745;7.489278519;36.9930614;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;N/A;-;N/A;0;0;1;0;0;3;Montane Grasslands and Shrublands;Vertisols;1835.990944;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1544.024994;1409.225037;1623.275024;17.43464565;17.88015842;18.25702333
4837;1;16;-1.180833174;36.79261268;-1.148479896;36.85268179;-1.163645477;36.8251658;Kenya;KEN;0;1;Kenya;KEN;Africa;Eastern Africa;Kiambu;Kiambu;GISCO OSM;0;0;1;0;0;15;Tropical and subtropical grasslands, savannas, and shrublands;Nitisols;1726.677302;Mild temperate, fully humid, and  Warm summer;Galana;1087.575027;835.7750092;955.125;18.5292635;19.18881559;19.41679478
